,Player,Pos,season_WAR,avg_ww_pWAS,avg_pWAS,games_played
324,Steven Alzate,F,-0.048949999999999966,-0.06657333333333335,-0.07636333333333332,5
311,Sander Berge,M,-0.0491166666666666,-0.0448469696969697,-0.04931212121212121,11
257,Neeskens Kebano,M,-0.05026666666666667,-0.005233333333333349,-0.055500000000000015,1
61,Christian Fuchs,D,-0.05371666666666655,-0.029612500000000003,-0.03632708333333332,8
40,Benjamin Mendy,D,-0.05453333333333326,-0.014513888888888897,-0.023602777777777778,6
355,William Smallbone,M,-0.05483333333333333,-0.005233333333333349,-0.06006666666666668,1
175,John Lundstram,M,-0.05506666666666661,-0.03975,-0.04663333333333333,8
242,Michy Batshuayi,F,-0.0584166666666667,-0.03866666666666667,-0.05327083333333334,4
101,Ezgjan Alioski,M,-0.05869999999999995,-0.03426428571428572,-0.04265,7
188,Josh Onomah,M,-0.05898333333333331,-0.005233333333333349,-0.06421666666666666,1
218,Marcos Alonso,D,-0.059666666666666646,-0.033975000000000005,-0.06380833333333333,2
306,Ryan Bertrand,D,-0.060266666666666524,-0.03310769230769231,-0.03774358974358974,13
281,Phil Jagielka,D,-0.06165,-0.04758333333333333,-0.10923333333333334,1
232,Matt Ritchie,M,-0.06283333333333327,-0.043661111111111116,-0.06460555555555554,3
137,Jack O'Connell,D,-0.06483333333333334,-0.033975000000000005,-0.06639166666666668,2
72,Daniel Amartey,D,-0.06499999999999997,0.0007833333333333211,-0.06421666666666666,1
158,Javier Manquillo,D,-0.06616666666666657,-0.022843333333333347,-0.03607666666666666,5
4,Aboubakar Kamara,F,-0.06628333333333332,-0.08998333333333335,-0.15626666666666666,1
220,Mario Lemina,M,-0.07465,-0.030633333333333342,-0.04929583333333334,4
271,Pablo Hernandez,M,-0.07721666666666661,-0.03665000000000001,-0.07525833333333332,2
169,Joel Veltman,D,-0.08073333333333327,-0.028352777777777782,-0.041808333333333336,6
279,Phil Bardsley,D,-0.08096666666666666,-0.017388888888888898,-0.04437777777777779,3
310,Said Benrahma,F,-0.08474999999999996,-0.041516666666666674,-0.08389166666666667,2
269,Owen Otasowie,M,-0.08785000000000001,-0.03833333333333333,-0.12618333333333334,1
149,James McCarthy,M,-0.09045,-0.04124166666666667,-0.06385416666666667,4
289,Rhian Brewster,F,-0.0919166666666667,-0.052358333333333326,-0.09831666666666668,2
275,Patrick van Aanholt,D,-0.09309999999999992,-0.033389583333333334,-0.04502708333333333,8
193,Kean Bryan,D,-0.09421666666666664,-0.015300000000000018,-0.06240833333333333,2
160,Jeff Hendrick,M,-0.09736666666666666,-0.03860000000000001,-0.04833666666666667,10
140,Jacob Murphy,M,-0.09780000000000005,-0.03153000000000001,-0.05109000000000001,5
95,Eric Bailly,D,-0.09919999999999998,-0.02348333333333334,-0.12268333333333332,1
117,George Baldock,D,-0.10143333333333326,-0.03049642857142857,-0.037741666666666666,14
148,James McArthur,M,-0.10233333333333325,-0.03781388888888889,-0.04634166666666667,12
251,Nathan Ake,D,-0.10556666666666666,-0.018737500000000004,-0.04512916666666667,4
5,Adam Lallana,M,-0.10718333333333332,-0.03780238095238094,-0.05311428571428572,7
356,Willian,F,-0.10995000000000009,-0.049604545454545464,-0.05960000000000001,11
221,Mark Noble,M,-0.11065000000000001,-0.02178333333333334,-0.07710833333333335,2
89,Douglas Luiz,M,-0.11451666666666666,-0.04285909090909091,-0.05326969696969697,11
16,Allan,M,-0.11659999999999991,-0.041596969696969695,-0.05219696969696969,11
107,Fabio Silva,F,-0.11933333333333329,-0.041516666666666674,-0.10118333333333332,2
217,Marcal,D,-0.1217333333333333,-0.02419666666666667,-0.048543333333333334,5
6,Adam Webster,D,-0.12421666666666667,-0.029182051282051282,-0.0387371794871795,13
327,Stuart Dallas,M,-0.1242333333333333,-0.038948809523809524,-0.04782261904761904,14
347,Tyrick Mitchell,D,-0.12551666666666655,-0.026638888888888896,-0.04755833333333332,6
265,Oliver Norwood,M,-0.1256333333333333,-0.024925000000000006,-0.05633333333333333,4
97,Eric Garcia,D,-0.12793333333333332,-0.013225000000000006,-0.07719166666666667,2
112,Fred,M,-0.1308833333333333,-0.03896458333333333,-0.055325,8
215,Mamadou Sakho,D,-0.13224999999999995,-0.017388888888888898,-0.06147222222222221,3
180,Jonny Evans,D,-0.13594999999999993,-0.028653333333333343,-0.04224833333333333,10
165,Joao Moutinho,M,-0.1362666666666666,-0.041303703703703704,-0.05644444444444444,9
110,Ferran Torres,F,-0.13845000000000002,-0.03897777777777777,-0.06205277777777778,6
302,Ruben Dias,D,-0.13856666666666664,-0.032707575757575755,-0.04530454545454546,11
199,Kieran Tierney,D,-0.1398166666666665,-0.030575641025641025,-0.04133076923076922,13
118,Georginio Wijnaldum,M,-0.1425833333333333,-0.039119230769230774,-0.05008717948717949,13
44,Billy Sharp,F,-0.14834999999999998,-0.05551666666666667,-0.12969166666666665,2
353,Wilfred Ndidi,M,-0.14893333333333328,-0.029880000000000007,-0.059666666666666666,5
138,Jack Robinson,D,-0.16031666666666658,-0.02111666666666667,-0.06119583333333332,4
181,Jordan Ayew,F,-0.16316666666666668,-0.0474125,-0.06780833333333335,8
124,Harrison Reed,M,-0.16359999999999994,-0.03500952380952382,-0.05838095238095238,7
39,Ben White,D,-0.16468333333333324,-0.03049642857142857,-0.042259523809523816,14
127,Harry Winks,M,-0.1660333333333333,-0.04132777777777778,-0.09667222222222221,3
316,Sean Longstaff,M,-0.16666666666666669,-0.03713333333333334,-0.060942857142857146,7
239,Michael Hector,D,-0.16724999999999995,-0.033975000000000005,-0.1176,2
202,Kyle Bartley,D,-0.16853333333333323,-0.022533333333333343,-0.0436,8
20,Andreas Christensen,D,-0.17013333333333333,-0.026550000000000008,-0.08326111111111112,3
59,Chris Wood,F,-0.1706666666666667,-0.04116538461538462,-0.05429358974358975,13
197,Kevin Long,D,-0.17184999999999997,-0.031583333333333345,-0.06022500000000001,6
223,Mason Greenwood,F,-0.17541666666666664,-0.04582777777777778,-0.07506388888888889,6
273,Pascal Struijk,D,-0.1778666666666667,-0.02566111111111111,-0.08495000000000001,3
30,Ashley Barnes,F,-0.18034999999999993,-0.038745238095238096,-0.06450952380952381,7
79,David Luiz,D,-0.1845333333333333,-0.030525000000000007,-0.07665833333333333,4
